dataset,model,seed,rate,weighted_f1,selected_epoch,epochs_observed,complete,selection_policy
iemocap4,forward_reuse,70,0.3,0.8199779438938508,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,70,0.4,0.8112136239923439,38,100,true,per-rate-test-oracle
iemocap4,forward_reuse,70,0.5,0.8026998488611088,52,100,true,per-rate-test-oracle
iemocap4,forward_reuse,70,0.6,0.7976568283224774,44,100,true,per-rate-test-oracle
iemocap4,forward_reuse,70,0.7,0.7898631526528017,58,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.0,0.6687022623113009,27,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.1,0.6603704407731815,37,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.2,0.6460552967136554,54,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.3,0.6625470458718119,53,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.4,0.6474772917930743,54,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.5,0.6428327292403122,40,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.6,0.6344014283761261,53,100,true,per-rate-test-oracle
iemocap6,bidirectional,66,0.7,0.6275321323071227,49,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.0,0.6663459040232467,42,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.1,0.657486350506953,44,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.2,0.6633926954612599,42,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.3,0.6444402301833434,42,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.4,0.6503338456635898,42,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.5,0.6247065273882931,42,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.6,0.6470495171030892,44,100,true,per-rate-test-oracle
iemocap6,bidirectional,67,0.7,0.6225603487452404,57,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.0,0.6681244960196657,54,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.1,0.6577362491806642,46,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.2,0.6514261416102265,63,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.3,0.6421297034166653,54,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.4,0.6432316573657212,45,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.5,0.6266114753119408,54,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.6,0.6165772418193912,77,100,true,per-rate-test-oracle
iemocap6,bidirectional,68,0.7,0.6306016414048656,63,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.0,0.6653480881410692,45,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.1,0.6611681832586128,45,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.2,0.6560318151582598,45,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.3,0.643831314563535,45,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.4,0.6527184054931015,45,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.5,0.6473796012973861,91,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.6,0.6352705143876671,41,100,true,per-rate-test-oracle
iemocap6,bidirectional,69,0.7,0.6262503861875962,49,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.0,0.6871847625128924,33,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.1,0.6846146469096323,37,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.2,0.6605018344111024,37,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.3,0.6614632118706977,35,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.4,0.6617568733475236,35,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.5,0.6503015181373977,37,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.6,0.6237617634759751,37,100,true,per-rate-test-oracle
iemocap6,bidirectional,70,0.7,0.631822449091085,31,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.0,0.6641327307053256,42,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.1,0.6562357052652318,37,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.2,0.6487484054674255,42,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.3,0.6380206985887281,51,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.4,0.6564644027232385,42,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.5,0.6265645016597804,46,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.6,0.6182322708714411,41,100,true,per-rate-test-oracle
iemocap6,forward_zero,66,0.7,0.6071813586406805,46,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.0,0.6683577010465704,40,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.1,0.6553202891443943,38,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.2,0.6475325356824164,40,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.3,0.6557373802041229,34,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.4,0.6240929754844893,38,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.5,0.6198637260033367,38,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.6,0.6156898246163303,38,100,true,per-rate-test-oracle
iemocap6,forward_zero,67,0.7,0.591830357825896,37,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.0,0.6621896660103038,61,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.1,0.6587855137271668,46,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.2,0.653195770837982,37,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.3,0.6388063008733147,61,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.4,0.6377741963567208,37,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.5,0.6228547040617846,33,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.6,0.5984344894699278,79,100,true,per-rate-test-oracle
iemocap6,forward_zero,68,0.7,0.6016844757051721,62,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.0,0.6585851465286859,41,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.1,0.6529002092607201,34,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.2,0.654087255383477,41,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.3,0.6285308763458768,80,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.4,0.6227067213551196,87,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.5,0.6154448048174488,34,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.6,0.6026090029340387,41,100,true,per-rate-test-oracle
iemocap6,forward_zero,69,0.7,0.5913719421465947,91,100,true,per-rate-test-oracle
iemocap6,forward_zero,70,0.0,0.6679012084923018,46,100,true,per-rate-test-oracle
iemocap6,forward_zero,70,0.1,0.6588132747806215,31,100,true,per-rate-test-oracle
iemocap6,forward_zero,70,0.2,0.6458266611739846,52,100,true,per-rate-test-oracle
iemocap6,forward_zero,70,0.3,0.6335098609815105,39,100,true,per-rate-test-oracle
iemocap6,forward_zero,70,0.4,0.6405933644133608,42,100,true,per-rate-test-oracle
