variant,label,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_protocol
no-jepa-pb,no-JEPA + pattern-balanced,70,0.1,0.8476335075957818,0.843934376308477,0.8475609756097561,0.8737125396728516,0.7523338644654638,65,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,70,0.2,0.8172436053957528,0.8128975214625938,0.8170731707317073,0.9399433732032776,0.6956106626285877,87,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,70,0.3,0.8104730885610913,0.8042080895681016,0.8125,1.001975178718567,0.6685174441148318,50,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,70,0.4,0.7835365853658537,0.7781736090605146,0.7835365853658537,1.0087884664535522,0.6319757012242798,65,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,70,0.5,0.7522105701507199,0.7418069131816778,0.7591463414634146,1.0680192708969116,0.5886511712929307,50,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,70,0.6,0.7516532491239363,0.7416727964395307,0.7576219512195121,1.0034914016723633,0.6019978098746612,54,per-rate-test-oracle
no-jepa-pb,no-JEPA + pattern-balanced,70,0.7,0.7354954560527076,0.7282160707144003,0.7362804878048781,1.0868676900863647,0.5473357229894394,80,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.0,0.8559631828911765,0.8517464225265425,0.8567073170731707,1.2769988775253296,0.7455162014407001,43,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.1,0.8384673195524841,0.8332909783989835,0.8399390243902439,1.2195608615875244,0.705013060326145,43,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.2,0.8085517233027344,0.8045680238331678,0.8079268292682927,0.9830251932144165,0.637311115964809,48,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.3,0.7932132047757825,0.7887058422304114,0.7926829268292683,1.051501989364624,0.596752915879734,48,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.4,0.7725764363395025,0.765460729746444,0.774390243902439,1.173032522201538,0.5896564757140187,43,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.5,0.7487017233420525,0.7413448222803507,0.75,1.1733529567718506,0.5389442340093569,65,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.6,0.7506804142759528,0.7426279691556554,0.7530487804878049,1.1668548583984375,0.5410286778476185,65,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,66,0.7,0.7283883966871616,0.7183064031310193,0.7332317073170732,1.1687355041503906,0.518408836874944,65,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.0,0.8467693435012515,0.842283428219726,0.8475609756097561,0.9355387091636658,0.7173392988324084,58,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.1,0.8362031931809621,0.8315312482749186,0.836890243902439,0.9880845546722412,0.6832629242462607,58,per-rate-test-oracle
