variant,label,seed,rate,pattern,n,weighted_f1
no-jepa,baseline no-JEPA,70,0.7,NO_TEXT,384,0.6571927106186924
no-jepa,baseline no-JEPA,70,0.7,TEXT_PRESENT,272,0.8545441271695383
no-jepa,baseline no-JEPA,70,0.7,ALL,656,0.7389963411751944
no-jepa-pb,no-JEPA + pattern-balanced,66,0.0,ATV,656,0.8743508616710264
no-jepa-pb,no-JEPA + pattern-balanced,66,0.0,TEXT_PRESENT,656,0.8743508616710264
no-jepa-pb,no-JEPA + pattern-balanced,66,0.0,ALL,656,0.8743508616710264
no-jepa-pb,no-JEPA + pattern-balanced,66,0.1,A,6,0.8285714285714286
no-jepa-pb,no-JEPA + pattern-balanced,66,0.1,T,6,0.8000000000000002
no-jepa-pb,no-JEPA + pattern-balanced,66,0.1,V,8,0.7500000000000001
no-jepa-pb,no-JEPA + pattern-balanced,66,0.1,AT,50,0.8211868131868131
