dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0.5,fixed0.4,current_observed_write_fit,text,err_after,5,0.5627384961584347,0.011209592231403494
iemocap4,0.5,fixed0.4,current_observed_write_fit,visual,err_after,5,0.41187320801613403,0.015115257552316559
iemocap4,0.5,fixed0.4,retention,audio,err_decay,5,0.4395942542668903,0.011095400532514985
iemocap4,0.5,fixed0.4,retention,text,err_decay,5,0.591447150800922,0.017092363799915706
iemocap4,0.5,fixed0.4,retention,visual,err_decay,5,0.4466789190101555,0.015227001667948405
iemocap4,0.5,fixed0.4,task,,accuracy,5,0.80290088638195,0.01319892481008465
iemocap4,0.5,fixed0.4,task,,macro_f1,5,0.7943040429031046,0.015347398168605338
iemocap4,0.5,fixed0.4,task,,weighted_f1,5,0.8033610309723197,0.012680687188640308
iemocap4,0.5,fixed0.6,current_observed_write_fit,audio,err_after,5,0.2771107134205523,0.01212770372313282
iemocap4,0.5,fixed0.6,current_observed_write_fit,text,err_after,5,0.38996446060013545,0.008554505314571045
iemocap4,0.5,fixed0.6,current_observed_write_fit,visual,err_after,5,0.27339069413709005,0.012126451168954118
iemocap4,0.5,fixed0.6,retention,audio,err_decay,5,0.33065331589193014,0.009401010651370528
iemocap4,0.5,fixed0.6,retention,text,err_decay,5,0.44347111332811756,0.012097929300578989
iemocap4,0.5,fixed0.6,retention,visual,err_decay,5,0.3300678551691786,0.011717330878698995
iemocap4,0.5,fixed0.6,task,,accuracy,5,0.8070910556003223,0.014488755069939126
iemocap4,0.5,fixed0.6,task,,macro_f1,5,0.7980515440401399,0.016578028705261826
iemocap4,0.5,fixed0.6,task,,weighted_f1,5,0.8073746662089959,0.013925156866273054
iemocap4,0.5,fixed0.8,current_observed_write_fit,audio,err_after,5,0.14530837465044144,0.006761852214715524
iemocap4,0.5,fixed0.8,current_observed_write_fit,text,err_after,5,0.206304828227848,0.004746643874712524
iemocap4,0.5,fixed0.8,current_observed_write_fit,visual,err_after,5,0.1413720547093362,0.00711320751604717
iemocap4,0.5,fixed0.8,retention,audio,err_decay,5,0.2347419086310257,0.010584105325134837
iemocap4,0.5,fixed0.8,retention,text,err_decay,5,0.2970265770257651,0.00706200136702891
iemocap4,0.5,fixed0.8,retention,visual,err_decay,5,0.23250269521437772,0.008357428811277863
iemocap4,0.5,fixed0.8,task,,accuracy,5,0.805157131345689,0.011696622842328289
iemocap4,0.5,fixed0.8,task,,macro_f1,5,0.7960652994771763,0.013332098023347132
iemocap4,0.5,fixed0.8,task,,weighted_f1,5,0.8053251089702531,0.011080983805172147
iemocap4,0.5,fixed0.9,current_observed_write_fit,audio,err_after,5,0.07567931397295881,0.003587586814169637
iemocap4,0.5,fixed0.9,current_observed_write_fit,text,err_after,5,0.10750124428581181,0.002505649490832591
iemocap4,0.5,fixed0.9,current_observed_write_fit,visual,err_after,5,0.07324900193492814,0.003877143700512829
iemocap4,0.5,fixed0.9,retention,audio,err_decay,5,0.19105941272305396,0.012305577575335262
iemocap4,0.5,fixed0.9,retention,text,err_decay,5,0.2251347887532941,0.005585007881874211
iemocap4,0.5,fixed0.9,retention,visual,err_decay,5,0.18953381273184414,0.007624497539115657
iemocap4,0.5,fixed0.9,task,,accuracy,5,0.8032232070910557,0.011779598270172218
iemocap4,0.5,fixed0.9,task,,macro_f1,5,0.7930922764353932,0.013105083601375057
iemocap4,0.5,fixed0.9,task,,weighted_f1,5,0.8033852632097809,0.011134525154106708
iemocap4,0.5,fixed0.95,current_observed_write_fit,audio,err_after,5,0.03930382894372304,0.0018731452693969087
iemocap4,0.5,fixed0.95,current_observed_write_fit,text,err_after,5,0.05580890265445539,0.0013090495638457787
iemocap4,0.5,fixed0.95,current_observed_write_fit,visual,err_after,5,0.03796478131984318,0.0020560691639764394
iemocap4,0.5,fixed0.95,retention,audio,err_decay,5,0.17115941236396676,0.01331527921971715
iemocap4,0.5,fixed0.95,retention,text,err_decay,5,0.19068398947113913,0.005428446439437968
iemocap4,0.5,fixed0.95,retention,visual,err_decay,5,0.1702177490652975,0.007649078120374691
iemocap4,0.5,fixed0.95,task,,accuracy,5,0.8017727639000806,0.013191543548545457
iemocap4,0.5,fixed0.95,task,,macro_f1,5,0.7915512057092725,0.015058762396436982
