dataset,seed,rate,higher_eta,lower_eta,lower_minus_higher
mosi,67,0.3,0.2,0.0,-0.008690393435142107
mosi,67,0.5,1.0,0.95,0.0014538211034776927
mosi,67,0.5,0.95,0.9,-0.0029078675002435217
mosi,67,0.5,0.9,0.8,-0.001769799613219547
mosi,67,0.5,0.8,0.6,0.0030656417595100738
mosi,67,0.5,0.6,0.4,-0.005023748486905122
mosi,67,0.5,0.4,0.2,-0.0038496310189676253
mosi,67,0.5,0.2,0.0,-0.027977762337771717
mosi,67,0.7,1.0,0.95,0.0012496385532747567
mosi,67,0.7,0.95,0.9,0.0
mosi,67,0.7,0.9,0.8,-0.0032772627326645987
mosi,67,0.7,0.8,0.6,0.0022330002063897236
mosi,67,0.7,0.6,0.4,-0.002867177314900271
mosi,67,0.7,0.4,0.2,-0.00860355085681408
mosi,67,0.7,0.2,0.0,-0.01568925618610406
mosi,67,all,1.0,0.95,0.0008381393924871139
mosi,67,all,0.95,0.9,-0.0017972537341177652
mosi,67,all,0.9,0.8,0.00021086885868049077
mosi,67,all,0.8,0.6,0.0019470234595754254
mosi,67,all,0.6,0.4,-0.0005975502425064061
mosi,67,all,0.4,0.2,-0.004301274288780799
mosi,67,all,0.2,0.0,-0.01247771559215638
mosi,68,0,1.0,0.95,0.0
mosi,68,0,0.95,0.9,0.0
mosi,68,0,0.9,0.8,0.0
mosi,68,0,0.8,0.6,0.0015654998597225411
mosi,68,0,0.6,0.4,0.004687413656769612
mosi,68,0,0.4,0.2,0.002985234464879527
mosi,68,0,0.2,0.0,-0.013195180849534083
mosi,68,0.1,1.0,0.95,0.0
mosi,68,0.1,0.95,0.9,-0.0014811186548718824
mosi,68,0.1,0.9,0.8,0.0
mosi,68,0.1,0.8,0.6,0.0016874297181446174
mosi,68,0.1,0.6,0.4,-0.0027726613429488456
mosi,68,0.1,0.4,0.2,-0.0028762582022024974
mosi,68,0.1,0.2,0.0,-0.014255762183570053
mosi,68,0.3,1.0,0.95,0.00321812204631744
mosi,68,0.3,0.95,0.9,0.004676851827456585
mosi,68,0.3,0.9,0.8,0.0016025979004150592
mosi,68,0.3,0.8,0.6,0.00013124537600028852
mosi,68,0.3,0.6,0.4,0.007967682232527862
mosi,68,0.3,0.4,0.2,-0.0069587781446800445
mosi,68,0.3,0.2,0.0,-0.027530640090733915
mosi,68,0.5,1.0,0.95,0.003250536096430112
mosi,68,0.5,0.95,0.9,0.001281556576903209
mosi,68,0.5,0.9,0.8,-0.0030804822452412672
mosi,68,0.5,0.8,0.6,0.006657132755735429
mosi,68,0.5,0.6,0.4,0.004060468248467286
mosi,68,0.5,0.4,0.2,-0.009179336965368434
mosi,68,0.5,0.2,0.0,-0.06440037551036182
mosi,68,0.7,1.0,0.95,0.003099599467613068
mosi,68,0.7,0.95,0.9,0.006501539081298802
mosi,68,0.7,0.9,0.8,0.005359366217278727
mosi,68,0.7,0.8,0.6,0.005548814276635228
mosi,68,0.7,0.6,0.4,0.002698300443640944
mosi,68,0.7,0.4,0.2,-0.009954699175594328
mosi,68,0.7,0.2,0.0,-0.06051236086050105
mosi,68,all,1.0,0.95,0.001913651522072124
mosi,68,all,0.95,0.9,0.0021957657661573204
mosi,68,all,0.9,0.8,0.0007762963744905038
mosi,68,all,0.8,0.6,0.0031180243972476207
mosi,68,all,0.6,0.4,0.0033282406476914383
