variant,seed,rate,pattern,total_count,excluded_original_neutral,count,weighted_f1
Three-class,67,0.1,TV,58,0,58,0.8452438460352535
Three-class,67,0.1,A,5,0,5,0.4499999999999999
Three-class,67,0.1,AV,59,0,59,0.7601843592030924
Three-class,67,0.1,AT,55,0,55,0.8115609880315764
Three-class,67,0.1,ATV,466,0,466,0.869142528260492
Three-class,67,0.2,V,24,0,24,0.5963541666666666
Three-class,67,0.2,T,14,0,14,0.8571428571428571
Three-class,67,0.2,TV,81,0,81,0.830718954248366
Three-class,67,0.2,A,18,0,18,0.625
Three-class,67,0.2,AV,92,0,92,0.6614892139973775
Three-class,67,0.2,AT,75,0,75,0.8933712660028448
Three-class,67,0.2,ATV,352,0,352,0.8833515267772014
Three-class,67,0.3,V,50,0,50,0.6210644257703081
Three-class,67,0.3,T,56,0,56,0.810985797827903
Three-class,67,0.3,TV,89,0,89,0.8757325188174977
Three-class,67,0.3,A,45,0,45,0.5538544184797206
Three-class,67,0.3,AV,99,0,99,0.6571699905033238
Three-class,67,0.3,AT,95,0,95,0.8922305764411027
Three-class,67,0.3,ATV,222,0,222,0.8348161826422695
Three-class,67,0.4,V,90,0,90,0.6454984628897672
Three-class,67,0.4,T,88,0,88,0.8751137102014295
Three-class,67,0.4,TV,81,0,81,0.8518518518518519
Three-class,67,0.4,A,75,0,75,0.6417971117846318
Three-class,67,0.4,AV,89,0,89,0.6858704172867839
Three-class,67,0.4,AT,86,0,86,0.8030554382060291
Three-class,67,0.4,ATV,147,0,147,0.8158605514087242
Three-class,67,0.5,V,119,0,119,0.6063253442932587
Three-class,67,0.5,T,105,0,105,0.8663976522377109
Three-class,67,0.5,TV,78,0,78,0.8970931029754559
Three-class,67,0.5,A,121,0,121,0.565300130491518
Three-class,67,0.5,AV,80,0,80,0.7134045371750289
Three-class,67,0.5,AT,77,0,77,0.8951659451659452
Three-class,67,0.5,ATV,76,0,76,0.8170876451170209
Three-class,67,0.6,V,147,0,147,0.6808657090127765
Three-class,67,0.6,T,149,0,149,0.8108571914025997
Three-class,67,0.6,TV,58,0,58,0.8786431174656575
Three-class,67,0.6,A,139,0,139,0.608101594196341
Three-class,67,0.6,AV,64,0,64,0.6995305164319249
Three-class,67,0.6,AT,67,0,67,0.9239999847427824
Three-class,67,0.6,ATV,32,0,32,0.8665458937198067
Three-class,67,0.7,V,177,0,177,0.6842222289601083
