seed,rate,pattern,n,base_zero_fraction,gap_zero_fraction,base_norm_valid_count,base_norm_mean,base_norm_median,base_norm_p90,gap_norm_valid_count,gap_norm_mean,gap_norm_median,gap_norm_p90,difference_norm_valid_count,difference_norm_mean,difference_norm_median,difference_norm_p90,sum_norm_valid_count,sum_norm_mean,sum_norm_median,sum_norm_p90,cosine_valid_count,cosine_mean,cosine_median,cosine_p90,relative_difference_valid_count,relative_difference_mean,relative_difference_median,relative_difference_p90,gap_base_norm_ratio_valid_count,gap_base_norm_ratio_mean,gap_base_norm_ratio_median,gap_base_norm_ratio_p90,centered_base_norm_valid_count,centered_base_norm_mean,centered_base_norm_median,centered_base_norm_p90,centered_gap_norm_valid_count,centered_gap_norm_mean,centered_gap_norm_median,centered_gap_norm_p90,centered_cosine_valid_count,centered_cosine_mean,centered_cosine_median,centered_cosine_p90
66,0.6,TV,78,0.038461538461538464,0.038461538461538464,78,8.401228055884392,8.84036605076422,11.81268572881833,78,3.7003699937024894,4.160180226525988,5.058590322772812,78,7.654103814364,7.855225184835913,10.851090866743665,78,10.563915751594749,11.657869572156798,14.080381474037127,75,0.44035916818912313,0.43474721483590006,0.5618255460200948,75,0.6396620624511303,0.6222713580824926,0.7459070903963384,75,0.44278089988417035,0.4627691327671613,0.6237804565731571,78,5.288507889302802,4.978388633163895,7.165381375218074,78,1.785808864755931,1.5291575383449059,3.468031722818448,78,0.3128146021829408,0.32140907013258835,0.5895555013632721
66,0.7,AT,37,0.0,0.0,37,8.992711873603216,9.04055478449892,11.086481714410473,37,5.673848440553924,5.742514520654943,6.710546774409601,37,7.138649405693077,7.507314433888284,9.403289442484576,37,13.213527612789079,13.435994450903584,15.90429736209589,37,0.6083087718545684,0.6211934396925861,0.7758489068301013,37,0.48071701046843424,0.4855151846352843,0.5860029874367542,37,0.6460116100270178,0.6125853975680527,0.8198113673123476,37,4.5339999297447005,3.9748101753170646,6.650151023234059,37,2.6418838905204645,2.4391053931930733,3.7875294792290206,37,0.42794507801375625,0.4501617788824575,0.8077847626337211
66,0.7,AV,37,0.05405405405405406,0.05405405405405406,37,8.103228731287686,8.613100638197572,10.996348599830668,37,4.791397908374683,5.37092404341588,7.303895444526407,37,6.274821314055933,7.217341971866089,8.207131944663896,37,11.752167652939772,12.291254164750114,17.31607696707915,35,0.6084457673699379,0.6534513236087779,0.8207194730163092,35,0.5040439471005757,0.47690035627816585,0.6615332334847366,35,0.5832069927446977,0.6044259339435789,0.7596851171807633,37,5.06931933250373,4.448176451714745,7.520720618809533,37,3.3958781305636627,3.3923731226133174,5.750831088885571,37,0.598869361210999,0.6922392105396479,0.9266754210743887
66,0.7,TV,46,0.021739130434782608,0.021739130434782608,46,8.817990667133977,9.241901220179098,11.538878474965259,46,3.779627306426264,4.173456257397275,5.065246600978593,46,8.036419952835942,8.18708282063987,10.444573948108491,46,11.0245681673576,11.695675870117512,14.1607561779091,45,0.43811384599755004,0.4538096235664319,0.5826192072693308,45,0.6546220801670933,0.6247920499216153,0.7576881034219461,45,0.4227620248686323,0.43031474401222414,0.6053912560330278,46,4.661681039123444,4.183717499200741,7.1795541336103295,46,1.7076085527173834,1.4402980418358933,3.3868939321578777,46,0.3058309954943509,0.3694442964205412,0.6519289964365058
67,0.0,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0,TV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.1,AT,55,0.12727272727272726,0.12727272727272726,55,10.612352330247267,11.469118699033165,16.06041695973094,55,6.271634671920857,7.165978645506717,8.97010530548642,55,8.986111165563084,10.255237664806296,13.924943417306288,55,14.956088168485941,16.290327747699802,21.809388332405856,48,0.5338486393936207,0.5203008689611052,0.7602338158611573,48,0.531515099118753,0.5567839991894326,0.6293881442756378,48,0.6102322326589074,0.5727204765870835,0.8281870771590053,55,7.917145569406029,7.652240997882521,13.61017972506972,55,3.9157275531393614,3.3587816360431644,5.475268820774559,55,0.40551035364077004,0.5412734389017081,0.7992960713091499
67,0.1,AV,59,0.05084745762711865,0.05084745762711865,59,11.92581297975674,12.497380081961223,16.70452477369849,59,9.550935026990638,10.151219993475252,12.916068448348922,59,6.212613556206863,6.4022884358774,7.664676532103477,59,20.688543795553137,22.242459089210058,29.441787717005216,56,0.8392404869149314,0.8686064311069865,0.9032644714661098,56,0.30073524315104455,0.28334027205906637,0.40016600268561575,56,0.8027594799693868,0.8003264323129726,0.9351372176050168,59,8.656132953597858,7.937036841997166,13.420597522513441,59,7.707570225004209,6.928670690463371,12.655087344544842,59,0.9036876778530357,0.946760777348635,0.9890399958352007
67,0.1,TV,58,0.034482758620689655,0.034482758620689655,58,11.110755139512237,10.495934107083848,16.78936142565933,58,2.6873735742842304,2.47480707586155,4.364539154604577,58,10.863664317129194,10.168900090593333,17.02357510864286,58,12.024829257058324,11.894477882298002,16.96882847687922,56,0.1991335038293193,0.19742371633092404,0.6461876517405218,56,0.7796143257231272,0.8003669662944553,0.9186803280853666,56,0.26209679629200827,0.24915188888797474,0.41110049653944236,58,7.976236192185523,7.961556081873304,12.514459785084298,58,2.0583110857540508,1.7262415945892187,3.432626744040344,58,0.034092951459163315,-0.05115907436328504,0.7786097411600339
