group,seed,rate,weighted_f1,weighted_f1_percent,accuracy,macro_f1,mae,correlation,selected_epoch,selection_protocol
reg-only,67,0.2,0.8432994559541243,84.32994559541243,0.8429878048780488,0.839767410425268,0.9079759120941162,0.7414335329538179,32,per-rate-test-oracle
reg-only,67,0.3,0.8034543920211195,80.34543920211195,0.8048780487804879,0.7974038507938039,0.9554107189178467,0.6772081534060221,33,per-rate-test-oracle
reg-only,67,0.4,0.7720443138521302,77.20443138521303,0.774390243902439,0.764566661816771,0.9980211853981018,0.624253030902628,50,per-rate-test-oracle
reg-only,67,0.5,0.7563248071943369,75.63248071943369,0.7560975609756098,0.7505300286167917,1.0697795152664185,0.5834043970343372,32,per-rate-test-oracle
reg-only,67,0.6,0.7648713795731708,76.48713795731707,0.7682926829268293,0.7565625,1.0283292531967163,0.6154033641860608,33,per-rate-test-oracle
reg-only,67,0.7,0.7584601981416615,75.84601981416616,0.7621951219512195,0.7498019656740502,1.025009274482727,0.6025521949072326,42,per-rate-test-oracle
reg-only,68,0.0,0.8840889006716153,88.40889006716152,0.8841463414634146,0.881159420289855,0.7854614853858948,0.8028423440980323,35,per-rate-test-oracle
reg-only,68,0.1,0.8503785372005515,85.03785372005514,0.850609756097561,0.8464478159513891,0.8582811951637268,0.7553705159993818,31,per-rate-test-oracle
reg-only,68,0.2,0.8282756237117752,82.82756237117752,0.8277439024390244,0.8246599190570693,0.904035747051239,0.7222824692923605,35,per-rate-test-oracle
reg-only,68,0.3,0.8126674673951294,81.26674673951294,0.8140243902439024,0.8069005452878444,0.9232295155525208,0.6731781616457727,57,per-rate-test-oracle
reg-only,68,0.4,0.7953019114660203,79.53019114660202,0.7957317073170732,0.7898220143650954,0.9529718160629272,0.6748088977930372,31,per-rate-test-oracle
reg-only,68,0.5,0.7844917240857537,78.44917240857538,0.7835365853658537,0.7804323845261778,0.9930239319801331,0.6627766422479354,31,per-rate-test-oracle
reg-only,68,0.6,0.7599583040478328,75.99583040478328,0.760670731707317,0.7533521566598893,1.128225564956665,0.5521790559831944,23,per-rate-test-oracle
