method,mode,seed,rate,weighted_f1
U1,Oracle-Best,68,0.4,75.44941152129854
U1,Oracle-Best,68,0.5,70.36460509284174
U1,Oracle-Best,68,0.6,70.01730445978285
U1,Oracle-Best,68,0.7,62.65998052899354
U1,Oracle-Best,69,0.0,87.20121463804566
U1,Oracle-Best,69,0.1,83.59881658662148
U1,Oracle-Best,69,0.2,76.6343024033531
U1,Oracle-Best,69,0.3,76.10484905681459
U1,Oracle-Best,69,0.4,71.53889664728871
U1,Oracle-Best,69,0.5,67.58881590782315
U1,Oracle-Best,69,0.6,65.15164440985104
U1,Oracle-Best,69,0.7,68.09955281030153
U1,Oracle-Best,70,0.0,87.466490502451
U1,Oracle-Best,70,0.1,83.23170731707317
U1,Oracle-Best,70,0.2,78.13632960435676
U1,Oracle-Best,70,0.3,74.43593438069611
U1,Oracle-Best,70,0.4,74.41100735308052
U1,Oracle-Best,70,0.5,70.89114576122019
U1,Oracle-Best,70,0.6,70.57204851562344
U1,Oracle-Best,70,0.7,65.9756328049011
U2,Oracle-Best,66,0.0,86.72044163908976
U2,Oracle-Best,66,0.1,84.91919482935064
U2,Oracle-Best,66,0.2,78.88333993080639
U2,Oracle-Best,66,0.3,76.24166870144786
U2,Oracle-Best,66,0.4,74.17793561086243
U2,Oracle-Best,66,0.5,71.44383467554199
U2,Oracle-Best,66,0.6,68.81907393292683
U2,Oracle-Best,66,0.7,65.43585273515073
U2,Oracle-Best,67,0.0,87.38661660891802
U2,Oracle-Best,67,0.1,81.33504513356284
U2,Oracle-Best,67,0.2,79.49359586428334
U2,Oracle-Best,67,0.3,75.5795664943711
U2,Oracle-Best,67,0.4,71.51070039533212
