dataset,seed,rate,modality,head_records,conversations,mean_decay_damage,mean_write_damage,mean_paired_difference,median_paired_difference,fraction_paired_positive,conversation_mean_paired,positive_conversation_count
IEMOCAPFour,70,0.1,audio,1096,29,0.01670694793574512,0.2727973389449482,0.25609039100920306,0.21301154792308807,0.9388686131386861,0.23737674786059207,29
IEMOCAPFour,70,0.3,audio,2672,29,0.013988612932125163,0.2166758793717094,0.20268726643958423,0.146215895190835,0.875,0.20247318918883495,29
IEMOCAPFour,70,0.3,visual,2744,31,0.014052582092165035,0.23423304346134838,0.22018046136918334,0.15880949888378382,0.8811953352769679,0.22587194261350563,31
IEMOCAPFour,70,0.3,text,2520,31,0.01572285940988906,0.20164036829179774,0.18591750888190867,0.12596048321574926,0.8559523809523809,0.17458312668990442,31
IEMOCAPFour,70,0.5,visual,4304,31,0.011763080787718587,0.18137972940172356,0.16961664861400497,0.1015084981918335,0.8092472118959108,0.1827107224604539,31
IEMOCAPFour,70,0.5,audio,4240,31,0.01147811482462786,0.17218372111300992,0.16070560628838204,0.09802519157528877,0.815566037735849,0.16554690948726708,31
IEMOCAPFour,70,0.5,text,4224,31,0.012219401003455983,0.15761362537269827,0.1453942243692423,0.07190471515059471,0.7729640151515151,0.1480858593869171,31
IEMOCAPFour,70,0.7,visual,5744,31,0.008899183937057874,0.13864096533604392,0.12974178139898604,0.06648082751780748,0.7604456824512534,0.13070106608966975,31
IEMOCAPFour,70,0.7,text,5296,30,0.010777886292553898,0.13368793174601934,0.12291004545346544,0.051648993976414204,0.7330060422960725,0.12685793205863397,30
IEMOCAPFour,70,0.7,audio,5440,31,0.00982360077494591,0.1469578389532056,0.1371342381782597,0.07119698449969292,0.7623161764705882,0.1444242260198997,31
CMUMOSI,66,0.1,audio,608,26,0.019165970645477308,0.11973615608018774,0.10057018543471043,0.04253537114709616,0.7319078947368421,0.10840022676469137,26
CMUMOSI,66,0.1,text,568,27,0.01953726596671196,0.061166347627541126,0.04162908166082917,0.014424296095967293,0.6302816901408451,0.04066790934834618,23
CMUMOSI,66,0.1,visual,480,28,0.018856978858821094,0.160636632720707,0.1417796538618859,0.05956225097179413,0.7104166666666667,0.12855477793338996,27
CMUMOSI,66,0.3,text,1560,31,0.018249015293967646,0.051531969324852794,0.033282954030885145,0.0010908599942922592,0.5121794871794871,0.03365714473064298,30
