dataset,seed,rate,modality,bucket,gaps,mean_gap_length,cumulative_write_mean,cumulative_write_median,cumulative_decay_mean,cumulative_decay_median,error_change_mean,error_change_median,write_per_step_mean,write_per_step_median,overlap_mean_mean,overlap_mean_median,overlap_max_mean,overlap_max_median,overlap_sum_mean,overlap_sum_median
IEMOCAPFour,67,0.7,audio,4-7,44,4.863636363636363,0.46523707385428925,0.45741780870594084,0.02444130326197906,0.023601670865900815,0.4896783769563626,0.4878029540850548,0.09704445607870014,0.09337162658339367,0.22217446135399732,0.22432837258093058,0.6350223124027252,0.6468343734741211,1.08717468584258,0.9905337688978761
IEMOCAPFour,67,0.7,visual,8+,4,9.5,0.6213068841025233,0.6669508097693324,0.014891197031829506,0.0108330431394279,0.636198078193047,0.6777838515736221,0.06742694221819484,0.06555141098631014,0.22346657115849666,0.22245973569806665,0.6649249792098999,0.6928683817386627,2.1281239220988937,1.8085332193877548
IEMOCAPFour,67,0.7,text,8+,5,8.8,0.5691505607217551,0.526482755318284,0.02787443161942065,0.03143959864974022,0.5970249899663032,0.547018458833918,0.0646796195115894,0.06094361567455861,0.2783293070230219,0.27746886625472045,0.7193736553192138,0.7473788857460022,2.4510250080842524,2.497219796292484
IEMOCAPFour,68,0.1,audio,1,91,1,0.31609055774726463,0.2942012483254075,0.018899080115830996,0.0189103907905519,0.3349896377232933,0.31273476663045585,0.31609055774726463,0.2942012483254075,0.31385526388556095,0.3016089089214802,0.5580970536876511,0.5584354400634766,0.31385526388556095,0.3016089089214802
IEMOCAPFour,68,0.1,text,1,111,1,0.2835115763581115,0.27336577558889985,0.018926208337500423,0.018985806964337826,0.3024377842165786,0.2923515790316742,0.2835115763581115,0.27336577558889985,0.3302396254494434,0.3395672757178545,0.5663401626788818,0.5888074636459351,0.3302396254494434,0.3395672757178545
IEMOCAPFour,68,0.1,visual,1,106,1,0.27835906065016425,0.268209136556834,0.018969669927104887,0.01903489779215306,0.29732873024154544,0.28740055068556103,0.27835906065016425,0.268209136556834,0.29423856674440924,0.2916578729636967,0.5344736719468854,0.5275170803070068,0.29423856674440924,0.2916578729636967
IEMOCAPFour,68,0.1,visual,2-3,18,2.0555555555555554,0.3250181704449157,0.3351452655624598,0.020181876038097672,0.02024732285644859,0.34520004720879016,0.3533371947160049,0.15791236414332632,0.16162604982188594,0.26026017877868274,0.22719140007393435,0.5321228007475535,0.5177268385887146,0.5386187205893092,0.4543828001478687
IEMOCAPFour,68,0.1,text,2-3,7,2,0.4467904467933944,0.5177996195852757,0.019537673132228,0.020866702776402235,0.46632812283262737,0.5401036923576612,0.2233952233966972,0.2588998097926378,0.36482010608805077,0.3636690992861986,0.6878109787191663,0.7216532230377197,0.7296402121761015,0.7273381985723972
IEMOCAPFour,68,0.1,audio,2-3,9,2,0.47665472344184917,0.4550196686759591,0.01593300632925497,0.01691705477423966,0.4925877282067732,0.47398139553843066,0.23832736172092459,0.22750983433797956,0.32629274670034647,0.3266388140618801,0.6354631980260214,0.6681997776031494,0.6525854934006929,0.6532776281237602
IEMOCAPFour,68,0.3,visual,1,147,1,0.25455793821756556,0.2571091614663601,0.01902882301020531,0.01903437450528145,0.27358676147703737,0.2760446320462506,0.25455793821756556,0.2571091614663601,0.2667678887987522,0.26194404950365424,0.5060168097213823,0.5073336958885193,0.2667678887987522,0.26194404950365424
IEMOCAPFour,68,0.3,text,1,171,1,0.25713089519324683,0.2417710570152849,0.018921209994175237,0.018948716344311833,0.2760521050283403,0.26040666818153113,0.25713089519324683,0.2417710570152849,0.29487306894040094,0.2826222386211157,0.5454292692984753,0.5513681769371033,0.29487306894040094,0.2826222386211157
IEMOCAPFour,68,0.3,text,2-3,71,2.183098591549296,0.35050647717762845,0.3637773534283042,0.02336048952821957,0.023410014808177948,0.37386696684429616,0.37884395476430655,0.1623258347928572,0.15142510633450001,0.2769780409079102,0.2719847585540265,0.6008038516615478,0.6222403049468994,0.6069971519361683,0.5572758847847581
