run,dataset,seed,rate,conversation,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,seed66:Ses05M_script03_2,344,0.3037721052939116,0.2693840665255435,0.18782060593366623,0.938953488372093,0.6186270683540767,0.7016944405958252
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro01,56,0.32327770847561105,0.2785099017034684,0.20352250337600708,0.9107142857142857,0.47310602043150307,0.5023923444976076
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro02,424,0.28562724179333465,0.16723523076342525,0.09445054829120636,0.8608490566037735,0.5484464990586716,0.5891863256743886
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro03,880,0.26598248480798,0.18190349248788235,0.10797744989395142,0.8522727272727273,0.6120889598185498,0.6490888241896443
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro04,632,0.23154815383951027,0.13163855994308862,0.0696694366633892,0.8259493670886076,0.6093840508829097,0.5914555797370619
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro05,552,0.2648416944489261,0.19951600691749025,0.11839950829744339,0.8568840579710145,0.6044926941734022,0.6559464390770257
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro06,592,0.27373208582866937,0.13274602403839095,0.0748983696103096,0.8344594594594594,0.5204580149032209,0.5276980119966398
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro07,752,0.25243161699581057,0.1488280566582615,0.07446298748254776,0.7898936170212766,0.5935672172437011,0.6325509362950499
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_impro08,424,0.30576452932030596,0.2119516557794205,0.12631941586732864,0.8891509433962265,0.58004764839403,0.6357638872489983
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_script01_1,344,0.25844382499561236,0.14099931529571497,0.06304694339632988,0.8023255813953488,0.5480530934862249,0.5434620475374896
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_script01_2,136,0.27670588929836143,0.1927712230997927,0.15174933522939682,0.9411764705882353,0.7147461186531321,0.7651209388865035
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_script01_3,432,0.26194345621021325,0.18367180415360188,0.11012259125709534,0.8611111111111112,0.6172997497475968,0.640859439142609
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_script02_1,296,0.22307273432788616,0.1251466970267781,0.048178019002079964,0.8006756756756757,0.6633769102323182,0.6429745314718817
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_script02_2,352,0.2737244729704054,0.1400148314529691,0.07401224970817566,0.8267045454545454,0.48698535674801724,0.5114142046831845
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_script03_1,392,0.2435819789475039,0.19281514791524684,0.10919810831546783,0.8826530612244898,0.6576206591312803,0.7420617101802554
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05F_script03_2,552,0.27602430932608474,0.19455835006564207,0.11489523202180862,0.8478260869565217,0.5209774341034812,0.5512549711629385
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro01,112,0.3222104245131569,0.2019080645903679,0.0652519091963768,0.8125,0.47713658414532945,0.4302798373594834
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro02,280,0.1972649245190301,0.08758116817500974,0.0400104820728302,0.7928571428571428,0.6082138866497337,0.5479503200660358
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro03,632,0.2581058951489675,0.17915509054378334,0.10559116303920746,0.8686708860759493,0.6233924482277805,0.6575353776937156
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro04,432,0.30952926978675854,0.23791676166432876,0.1704699620604515,0.8611111111111112,0.587617858732569,0.6204107568020376
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro05,360,0.30555266516231416,0.22118432520785267,0.14701946079730988,0.8583333333333333,0.5513802337953149,0.6095126762809384
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro06,264,0.2333654249827801,0.14776548144943785,0.07987459003925323,0.8257575757575758,0.5983586703999784,0.5835699704556868
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro07,920,0.2557683134249047,0.1842989985689359,0.1094345673918724,0.8597826086956522,0.6432225437396396,0.6949073201522747
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_impro08,408,0.2880310584065121,0.231978882916783,0.13433969765901566,0.8823529411764706,0.6543599070204099,0.7330804124993684
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_script01_1,280,0.2769666625735616,0.2672657708770462,0.19284552335739136,0.9464285714285714,0.6886225658456951,0.7692616341680742
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_script01_1b,208,0.22273578330238636,0.18308776785404637,0.09772756323218346,0.8605769230769231,0.6420237739023134,0.6136403642124466
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_script01_2,80,0.26282302230829374,0.20130869632121176,0.11943338438868523,0.8,0.639261616418904,0.679606188466948
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_script01_3,440,0.2734510777412321,0.18105991830287332,0.10415828227996826,0.8590909090909091,0.5508110526969275,0.5785093743440636
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,seed66:Ses05M_script02_1,272,0.2118609462186749,0.10504196728031863,0.048012737184762955,0.7463235294117647,0.49971112566284526,0.4209051204927046
