run,dataset,seed,rate,overlap_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman,conversation_count,conversation_equal_damage_mean
iemocap4_seed70_rate0.5,IEMOCAPFour,70,0.5,"[.1,.2)",2823,0.14945750289507212,0.08433723641250031,0.0740463063120842,0.8544102019128587,0.2452088156044075,0.24199687956467777,31,0.08971638941655195
iemocap4_seed70_rate0.5,IEMOCAPFour,70,0.5,"[.2,.4)",4390,0.2909300350484381,0.1842987850898185,0.1688656061887741,0.8801822323462415,0.25175629919076736,0.2535406729435507,31,0.1885462872507258
iemocap4_seed70_rate0.5,IEMOCAPFour,70,0.5,"[.4,.6)",2276,0.48335040981352645,0.3610120072522199,0.34672732651233673,0.9200351493848857,0.22775251550800854,0.24233858961963092,31,0.37107626574003316
iemocap4_seed70_rate0.5,IEMOCAPFour,70,0.5,"[.6,1]",454,0.6670677820753946,0.5390368437369883,0.5442751049995422,0.9185022026431718,0.1437434375062048,0.15302049527331787,30,0.5767217013290307
iemocap4_seed70_rate0.7,IEMOCAPFour,70,0.7,"[0,.1)",4168,0.04932033970206619,0.01697092296800535,0.007510432042181492,0.7207293666026872,0.35658820233880517,0.3620836733012801,31,0.018058000716609148
iemocap4_seed70_rate0.7,IEMOCAPFour,70,0.7,"[.1,.2)",3761,0.14928993998539636,0.07091350044819411,0.06317993253469467,0.8085615527785164,0.1815855729626153,0.17991707281630454,31,0.07209014222499327
iemocap4_seed70_rate0.7,IEMOCAPFour,70,0.7,"[.2,.4)",5295,0.2888837307241303,0.15971580064794835,0.14790856838226318,0.8436260623229461,0.21541310058134056,0.20798752899593317,31,0.16184177226087365
iemocap4_seed70_rate0.7,IEMOCAPFour,70,0.7,"[.4,.6)",2671,0.48801822939734923,0.31510522640413086,0.3079696297645569,0.8884312991388993,0.21713554345746855,0.21705028861561093,31,0.3208190904632387
iemocap4_seed70_rate0.7,IEMOCAPFour,70,0.7,"[.6,1]",585,0.6627754902228331,0.47698107529909184,0.4833459258079529,0.905982905982906,0.1348059974370892,0.1674348270233985,31,0.5189510688961815
mosi_seed66_rate0.1,CMUMOSI,66,0.1,"[0,.1)",400,0.061301882417174054,0.01484752336749807,0.006270959973335266,0.8425,0.3623506568286612,0.5086933043331521,31,0.01659510811349028
mosi_seed66_rate0.1,CMUMOSI,66,0.1,"[.1,.2)",227,0.1429538652629054,0.07364600651491318,0.03635242581367493,0.9647577092511013,0.16534571932821615,0.2331057166130796,29,0.07061406258768588
mosi_seed66_rate0.1,CMUMOSI,66,0.1,"[.2,.4)",824,0.2988857353666743,0.1421496976591936,0.0820927768945694,0.9660194174757282,0.21273667381968067,0.16947241648158257,31,0.14624342236738652
mosi_seed66_rate0.1,CMUMOSI,66,0.1,"[.4,.6)",201,0.4726441369127871,0.21571668446879483,0.14047259092330933,0.9651741293532339,0.05831212114564963,0.03543076695729275,27,0.21002588542687287
mosi_seed66_rate0.1,CMUMOSI,66,0.1,"[.6,1]",4,0.6388995349407196,0.3751486949622631,0.3220878094434738,1,0.9153060616193557,0.8,2,0.3751486949622631
mosi_seed66_rate0.3,CMUMOSI,66,0.3,"[0,.1)",1194,0.05377758173053613,0.010653195419883858,0.0032717427238821983,0.7688442211055276,0.28630369616296375,0.4240103568060027,31,0.011273756183721484
mosi_seed66_rate0.3,CMUMOSI,66,0.3,"[.1,.2)",635,0.14408407401381515,0.06227046598892982,0.022907225415110588,0.8818897637795275,0.2097332990607815,0.22205910128146666,31,0.058582882203550186
mosi_seed66_rate0.3,CMUMOSI,66,0.3,"[.2,.4)",1939,0.2970062231298204,0.1265288386032823,0.06463322043418884,0.9025270758122743,0.19351122422507458,0.17201078596830324,31,0.12500259721646018
mosi_seed66_rate0.3,CMUMOSI,66,0.3,"[.4,.6)",492,0.4742209245640088,0.2805101425477826,0.14967801421880722,0.9207317073170732,0.06870197326158886,0.03144051493145858,31,0.3200607887435648
mosi_seed66_rate0.3,CMUMOSI,66,0.3,"[.6,1]",4,0.6118877977132797,0.4993943255394697,0.21335098147392273,1,-0.6962413005020547,-1.0,3,0.6182361630101999
mosi_seed66_rate0.5,CMUMOSI,66,0.5,"[0,.1)",2283,0.05077275623899056,0.008669272322979508,0.002071969211101532,0.7113447218572054,0.25814148307745166,0.3595462735506506,31,0.008833191511197564
mosi_seed66_rate0.5,CMUMOSI,66,0.5,"[.1,.2)",1139,0.1440032883052558,0.05106220177527684,0.02147654816508293,0.8261633011413521,0.16423571355806268,0.21347209281607546,31,0.048769512885041263
mosi_seed66_rate0.5,CMUMOSI,66,0.5,"[.2,.4)",2889,0.294071994002363,0.1081049482232716,0.05952175334095955,0.8231221876081689,0.21271643257519537,0.17599945403960973,31,0.1061333020975792
mosi_seed66_rate0.5,CMUMOSI,66,0.5,"[.4,.6)",794,0.47097655117361614,0.22185811203357855,0.1261187121272087,0.8438287153652393,0.13479617905753707,0.0891433544776238,31,0.245521565091893
mosi_seed66_rate0.5,CMUMOSI,66,0.5,"[.6,1]",23,0.6121628051218779,0.23145173506244368,0.10897713899612427,0.9565217391304348,-0.10450575318420771,-0.19268774703557312,3,0.4006476228177133
