group,rate,mode,n_seeds,mean,sd
TV,0.4,gap_to_base,5,87.8643803993831,3.280757360574853
TV,0.4,move_base_to_gap,5,88.29479327734478,3.2220134488447516
TV,0.4,move_gap_to_base,5,87.66975629072435,3.2315679630580862
TV,0.4,swap,5,88.51165745942635,3.1017992277945177
TV,0.5,normal,5,88.88916894900923,4.874195171615881
TV,0.5,no_gap,5,88.88916894900923,4.874195171615881
TV,0.5,no_base,5,88.65999156380697,4.352488166656921
TV,0.5,base_to_gap,5,88.3745137753334,5.1875720889582135
TV,0.5,gap_to_base,5,88.65999156380697,4.352488166656921
TV,0.5,move_base_to_gap,5,89.14170503420516,4.061208533621372
TV,0.5,move_gap_to_base,5,88.65999156380697,4.352488166656921
TV,0.5,swap,5,88.90648011461789,4.3610091032824725
TV,0.6,normal,5,85.99693489852041,5.723788435694793
TV,0.6,no_gap,5,85.99693489852041,5.723788435694793
TV,0.6,no_base,5,86.05914325141686,5.535766279912171
TV,0.6,base_to_gap,5,85.66495452864086,5.626698469780221
TV,0.6,gap_to_base,5,86.05914325141686,5.535766279912171
TV,0.6,move_base_to_gap,5,86.35910740756019,4.970672695116044
TV,0.6,move_gap_to_base,5,86.05914325141686,5.535766279912171
TV,0.6,swap,5,86.35910740756019,4.970672695116044
TV,0.7,normal,5,82.62365807958639,6.547967034307036
TV,0.7,no_gap,5,82.62365807958639,6.547967034307036
TV,0.7,no_base,5,83.07431120005083,6.793340620159007
TV,0.7,base_to_gap,5,83.16955654166698,5.653726230771505
TV,0.7,gap_to_base,5,82.62365807958639,6.547967034307036
TV,0.7,move_base_to_gap,5,83.10028047457612,6.284577285775928
TV,0.7,move_gap_to_base,5,83.07431120005083,6.793340620159007
TV,0.7,swap,5,83.10028047457612,6.284577285775928
