section,rate,mode,modality,metric,n_seeds,mean,sample_std,positive,zero,negative,sign_flip_p_two_sided
retention,0.7,protected,audio,decay_damage,5,0.012631680820941224,0.00022535100281163782,,,,
retention,0.7,protected,audio,err_decay,5,0.128206437817252,0.005514708531054318,,,,
retention,0.7,protected,audio,err_post,5,0.12823347253954953,0.005511997720906861,,,,
retention,0.7,protected,audio,write_damage,5,2.7034722297529227e-05,3.5197329213672128e-06,,,,
retention,0.7,protected,text,decay_damage,5,0.01281833510942276,0.00030573021798207167,,,,
retention,0.7,protected,text,err_decay,5,0.17597377053088864,0.016500450129997003,,,,
retention,0.7,protected,text,err_post,5,0.1760014811872378,0.01650142687708169,,,,
retention,0.7,protected,text,write_damage,5,2.7710656349168236e-05,1.8358073896694536e-06,,,,
retention,0.7,protected,visual,decay_damage,5,0.013270958380756055,0.00014151670621109587,,,,
retention,0.7,protected,visual,err_decay,5,0.1313855929165066,0.010107537415689748,,,,
retention,0.7,protected,visual,err_post,5,0.1314079630610845,0.010107289281221838,,,,
retention,0.7,protected,visual,write_damage,5,2.2370144577897605e-05,3.6661101391857026e-06,,,,
retention,0.7,reference,audio,decay_damage,5,0.009465965675429342,0.00033756979971113815,,,,
retention,0.7,reference,audio,err_decay,5,0.21133708806386126,0.012171999535482933,,,,
retention,0.7,reference,audio,err_post,5,0.35681407432320417,0.011459850979303457,,,,
retention,0.7,reference,audio,write_damage,5,0.14547698618823454,0.005544873463250958,,,,
retention,0.7,reference,text,decay_damage,5,0.010583372520877871,0.00023329798770991455,,,,
retention,0.7,reference,text,err_decay,5,0.20095615646508075,0.00888990998664833,,,,
retention,0.7,reference,text,err_post,5,0.3429532335944127,0.017360793881367815,,,,
retention,0.7,reference,text,write_damage,5,0.14199707716154591,0.010624446706787,,,,
retention,0.7,reference,visual,decay_damage,5,0.009440929264104631,0.0005028597462077463,,,,
retention,0.7,reference,visual,err_decay,5,0.20954459865876848,0.016401425253939866,,,,
retention,0.7,reference,visual,err_post,5,0.3443782509578989,0.020706716851946774,,,,
retention,0.7,reference,visual,write_damage,5,0.13483365230651068,0.007024673570408402,,,,
task,0,fixed0.9,,accuracy,5,0.8448025785656729,0.0045796203830403654,,,,
task,0,fixed0.9,,macro_f1,5,0.8416671782889392,0.006647666751659232,,,,
task,0,fixed0.9,,weighted_f1,5,0.8447139265169631,0.00470038108088801,,,,
task,0,global,,accuracy,5,0.8435132957292506,0.004464752675969378,,,,
task,0,global,,macro_f1,5,0.8400724013267017,0.006084817745323809,,,,
task,0,global,,weighted_f1,5,0.8433435504685555,0.004726734805001648,,,,
task,0,global-minus-fixed0.9,,accuracy,5,-0.0012892828364222454,0.0023903943552282653,2,0,3,
task,0,global-minus-fixed0.9,,macro_f1,5,-0.001594776962237554,0.0027251722049228483,2,0,3,
task,0,global-minus-fixed0.9,,weighted_f1,5,-0.0013703760484076622,0.002411810196531715,2,0,3,
task,0,protected,,accuracy,5,0.8435132957292506,0.004464752675969378,,,,
task,0,protected,,macro_f1,5,0.8400724013267017,0.006084817745323809,,,,
task,0,protected,,weighted_f1,5,0.8433435504685555,0.004726734805001648,,,,
task,0,reference,,accuracy,5,0.8435132957292506,0.004464752675969378,,,,
task,0,reference,,macro_f1,5,0.8400724013267017,0.006084817745323809,,,,
task,0,reference,,weighted_f1,5,0.8433435504685555,0.004726734805001648,,,,
task,0.1,fixed0.9,,accuracy,5,0.8422240128928284,0.004780788710456531,,,,
task,0.1,fixed0.9,,macro_f1,5,0.8393504124251792,0.00721775296821218,,,,
task,0.1,fixed0.9,,weighted_f1,5,0.8420938739634498,0.00465734930540822,,,,
task,0.1,global,,accuracy,5,0.8396454472199839,0.006813672250317418,,,,
task,0.1,global,,macro_f1,5,0.8365298048576889,0.010370483297609237,,,,
task,0.1,global,,weighted_f1,5,0.8395522800067604,0.00681691465091699,,,,
task,0.1,global-minus-fixed0.9,,accuracy,5,-0.0025785656728444907,0.0026358464518607882,1,0,4,
task,0.1,global-minus-fixed0.9,,macro_f1,5,-0.0028206075674903188,0.003209915169811009,1,0,4,
task,0.1,global-minus-fixed0.9,,weighted_f1,5,-0.00254159395668947,0.002602153938146631,1,0,4,
task,0.1,protected,,accuracy,5,0.8393231265108784,0.005302396092300456,,,,
task,0.1,protected,,macro_f1,5,0.8365676778488359,0.008057609087893665,,,,
task,0.1,protected,,weighted_f1,5,0.8392432249910612,0.005312626529144801,,,,
task,0.1,reference,,accuracy,5,0.8393231265108784,0.006257298520005562,,,,
task,0.1,reference,,macro_f1,5,0.8364963248673959,0.00902168840403232,,,,
task,0.1,reference,,weighted_f1,5,0.8392412622259674,0.006191524175350635,,,,
task,0.3,fixed0.9,,accuracy,5,0.8220789685737309,0.006987746458881156,,,,
task,0.3,fixed0.9,,macro_f1,5,0.8143676868125124,0.007608349804688392,,,,
task,0.3,fixed0.9,,weighted_f1,5,0.821925043097375,0.006163871495460966,,,,
task,0.3,global,,accuracy,5,0.8211120064464142,0.0069317689500746245,,,,
task,0.3,global,,macro_f1,5,0.8133069162578069,0.007950686201608732,,,,
task,0.3,global,,weighted_f1,5,0.8208971047277079,0.006196226806270043,,,,
task,0.3,global-minus-fixed0.9,,accuracy,5,-0.0009669621273166396,0.0019238253644340108,1,1,3,
task,0.3,global-minus-fixed0.9,,macro_f1,5,-0.001060770554705437,0.0016006714335029403,2,0,3,
task,0.3,global-minus-fixed0.9,,weighted_f1,5,-0.0010279383696671029,0.001939759560625394,1,0,4,
task,0.3,protected,,accuracy,5,0.8193392425463336,0.007416003458400325,,,,
task,0.3,protected,,macro_f1,5,0.8119716417788124,0.007050063366664777,,,,
task,0.3,protected,,weighted_f1,5,0.8190914476526191,0.006652551231206236,,,,
task,0.3,reference,,accuracy,5,0.8201450443190975,0.006678925313489781,,,,
task,0.3,reference,,macro_f1,5,0.8120208908150497,0.008110205210784796,,,,
task,0.3,reference,,weighted_f1,5,0.8199327737698938,0.005976467383895326,,,,
task,0.5,fixed0.9,,accuracy,5,0.8032232070910557,0.011779598270172218,,,,
task,0.5,fixed0.9,,macro_f1,5,0.7930922764353932,0.013105083601375057,,,,
task,0.5,fixed0.9,,weighted_f1,5,0.8033852632097809,0.011134525154106708,,,,
task,0.5,global,,accuracy,5,0.8016116035455277,0.014609255030987367,,,,
task,0.5,global,,macro_f1,5,0.791542403656623,0.01661818439440884,,,,
task,0.5,global,,weighted_f1,5,0.801909645188636,0.013741884262963154,,,,
task,0.5,global-minus-fixed0.9,,accuracy,5,-0.0016116035455278287,0.0036484226986854863,2,0,3,
task,0.5,global-minus-fixed0.9,,macro_f1,5,-0.0015498727787701893,0.0043126928874442656,2,0,3,
task,0.5,global-minus-fixed0.9,,weighted_f1,5,-0.00147561802114482,0.0035480797335251846,2,0,3,
task,0.5,protected,,accuracy,5,0.8030620467365028,0.012399925261351398,,,,
task,0.5,protected,,macro_f1,5,0.7933280918837773,0.015897996827277112,,,,
task,0.5,protected,,weighted_f1,5,0.8031082067628988,0.011722040772704176,,,,
task,0.5,reference,,accuracy,5,0.8009669621273167,0.013639251313304408,,,,
task,0.5,reference,,macro_f1,5,0.7904721366469749,0.015558600917154244,,,,
task,0.5,reference,,weighted_f1,5,0.8011808613274906,0.012850627693409002,,,,
task,0.7,fixed0.9,,accuracy,5,0.7806607574536664,0.017556495695920906,,,,
task,0.7,fixed0.9,,macro_f1,5,0.772949733160654,0.01647611652765965,,,,
task,0.7,fixed0.9,,weighted_f1,5,0.781223381430438,0.016228535015672486,,,,
task,0.7,global,,accuracy,5,0.7800161160354553,0.020088559004541363,,,,
task,0.7,global,,macro_f1,5,0.7726475688665007,0.019424405107199394,,,,
task,0.7,global,,weighted_f1,5,0.7806610772642495,0.01854561472586146,,,,
