seed,section,rate,mode,modality,metric,value
66,retention,0.7,fixed0.9,audio,write_damage,0.11719681222162004
66,retention,0.7,fixed0.9,text,decay_damage,0.008367237688416441
66,retention,0.7,fixed0.9,text,err_decay,0.2530685158701771
66,retention,0.7,fixed0.9,text,err_post,0.36729292176682166
66,retention,0.7,fixed0.9,text,write_damage,0.11422440597824077
66,retention,0.7,fixed0.9,visual,decay_damage,0.007271711450880046
66,retention,0.7,fixed0.9,visual,err_decay,0.25368194623095086
66,retention,0.7,fixed0.9,visual,err_post,0.3574470173071184
66,retention,0.7,fixed0.9,visual,write_damage,0.10376507102346373
66,task,0.7,fixed0.9,,accuracy,0.790491539081386
66,task,0.7,fixed0.9,,macro_f1,0.7797908155541424
66,task,0.7,fixed0.9,,weighted_f1,0.7897954701405597
66,write_audit,0.7,fixed0.9,,applied_norm,5.3757483544087785
66,write_audit,0.7,fixed0.9,,global_norm,5.48292296978973
66,write_audit,0.7,fixed0.9,,global_scale,0.9171019259008739
66,write_audit,0.7,fixed0.9,,norm_mismatch,2.2351741790771484e-07
66,write_audit,0.7,fixed0.9,,original_norm,5.973053884457595
66,write_audit,0.7,fixed0.9,,protected_norm,5.48292296726818
66,write_fit,0.7,fixed0.9,audio,err_after,0.07569289896475019
66,write_fit,0.7,fixed0.9,audio,err_before,0.7431004036854213
66,write_fit,0.7,fixed0.9,audio,err_original_after,0.0015774711673587865
66,write_fit,0.7,fixed0.9,audio,fit_gain,0.6674075047206711
66,write_fit,0.7,fixed0.9,text,err_after,0.10558589101734853
66,write_fit,0.7,fixed0.9,text,err_before,1.0363383211024584
66,write_fit,0.7,fixed0.9,text,err_original_after,0.0021984585292415463
66,write_fit,0.7,fixed0.9,text,fit_gain,0.9307524300851099
66,write_fit,0.7,fixed0.9,visual,err_after,0.07674718423844977
66,write_fit,0.7,fixed0.9,visual,err_before,0.753421121419693
66,write_fit,0.7,fixed0.9,visual,err_original_after,0.0016149067284945949
66,write_fit,0.7,fixed0.9,visual,fit_gain,0.6766739371812432
66,retention,0.7,global,audio,decay_damage,0.008138681925112927
66,retention,0.7,global,audio,err_decay,0.21855510265026185
66,retention,0.7,global,audio,err_post,0.3349396643166225
66,retention,0.7,global,audio,write_damage,0.11638456171559974
66,retention,0.7,global,text,decay_damage,0.008880371707414202
66,retention,0.7,global,text,err_decay,0.2319381247574233
66,retention,0.7,global,text,err_post,0.3478141804063957
66,retention,0.7,global,text,write_damage,0.1158760556739437
66,retention,0.7,global,visual,decay_damage,0.007990987702569041
66,retention,0.7,global,visual,err_decay,0.23626424239385996
66,retention,0.7,global,visual,err_post,0.33847597926684303
66,retention,0.7,global,visual,write_damage,0.10221173692818859
66,task,0.7,global,,accuracy,0.7880741337630943
66,task,0.7,global,,macro_f1,0.7760642868420562
66,task,0.7,global,,weighted_f1,0.7872387587442012
66,write_audit,0.7,global,,applied_norm,5.531282172111328
66,write_audit,0.7,global,,global_norm,5.531282174846009
66,write_audit,0.7,global,,global_scale,0.9170981637779309
66,write_audit,0.7,global,,norm_mismatch,2.2847346487206666e-07
66,write_audit,0.7,global,,original_norm,6.022147421812898
66,write_audit,0.7,global,,protected_norm,5.531282167290364
66,write_fit,0.7,global,audio,err_after,0.053586429802329916
66,write_fit,0.7,global,audio,err_before,0.7494199505015383
66,write_fit,0.7,global,audio,err_original_after,0.001591421672286784
66,write_fit,0.7,global,audio,fit_gain,0.6958335206992083
66,write_fit,0.7,global,text,err_after,0.0856271022101616
66,write_fit,0.7,global,text,err_before,1.0483149677468035
66,write_fit,0.7,global,text,err_original_after,0.002224015972335293
66,write_fit,0.7,global,text,fit_gain,0.9626878655366421
66,write_fit,0.7,global,visual,err_after,0.05816789157303313
66,write_fit,0.7,global,visual,err_before,0.7571723815436309
66,write_fit,0.7,global,visual,err_original_after,0.0016243899854253287
66,write_fit,0.7,global,visual,fit_gain,0.6990044899705977
66,retention,0.7,protected,audio,decay_damage,0.01274222224121463
66,retention,0.7,protected,audio,err_decay,0.12696795572640707
66,retention,0.7,protected,audio,err_post,0.12699910788409963
66,retention,0.7,protected,audio,write_damage,3.11521576925707e-05
66,retention,0.7,protected,text,decay_damage,0.012762156036243496
66,retention,0.7,protected,text,err_decay,0.17356723386216122
