dataset,seed,rate,mode,section,modality,metric,value
iemocap4,67,0,fixed0.9,current_observed_write_fit,text,err_after,0.10849127060589553
iemocap4,67,0,fixed0.9,current_observed_write_fit,visual,err_after,0.0678226510661893
iemocap4,67,0,fixed0.9,task,,accuracy,0.8404512489927478
iemocap4,67,0,fixed0.9,task,,macro_f1,0.8452372112022062
iemocap4,67,0,fixed0.9,task,,weighted_f1,0.8411723724028448
iemocap4,67,0,fixed0.8,current_observed_write_fit,audio,err_after,0.14279278636741918
iemocap4,67,0,fixed0.8,current_observed_write_fit,text,err_after,0.2072695469818908
iemocap4,67,0,fixed0.8,current_observed_write_fit,visual,err_after,0.13017957365988528
iemocap4,67,0,fixed0.8,task,,accuracy,0.8444802578565673
iemocap4,67,0,fixed0.8,task,,macro_f1,0.8483369911099273
iemocap4,67,0,fixed0.8,task,,weighted_f1,0.8451983757743234
iemocap4,67,0.1,reference,current_observed_write_fit,audio,err_after,0.0016946359735748988
iemocap4,67,0.1,reference,current_observed_write_fit,text,err_after,0.0025579981899368043
iemocap4,67,0.1,reference,current_observed_write_fit,visual,err_after,0.0017045382528530209
iemocap4,67,0.1,reference,retention,audio,err_decay,0.040053022794759356
iemocap4,67,0.1,reference,retention,text,err_decay,0.057972972914098926
iemocap4,67,0.1,reference,retention,visual,err_decay,0.0488578933160578
iemocap4,67,0.1,reference,task,,accuracy,0.8404512489927478
iemocap4,67,0.1,reference,task,,macro_f1,0.845303367260605
iemocap4,67,0.1,reference,task,,weighted_f1,0.8411303755744274
iemocap4,67,0.1,fixed0.95,current_observed_write_fit,audio,err_after,0.038769030014146035
iemocap4,67,0.1,fixed0.95,current_observed_write_fit,text,err_after,0.05643761029121973
iemocap4,67,0.1,fixed0.95,current_observed_write_fit,visual,err_after,0.035777735207970444
iemocap4,67,0.1,fixed0.95,retention,audio,err_decay,0.06786940438356602
iemocap4,67,0.1,fixed0.95,retention,text,err_decay,0.09983592372562768
iemocap4,67,0.1,fixed0.95,retention,visual,err_decay,0.0720560146304213
iemocap4,67,0.1,fixed0.95,task,,accuracy,0.8428686543110395
iemocap4,67,0.1,fixed0.95,task,,macro_f1,0.8473611807833301
iemocap4,67,0.1,fixed0.95,task,,weighted_f1,0.8434811351746078
iemocap4,67,0.1,fixed0.9,current_observed_write_fit,audio,err_after,0.07457670113578221
iemocap4,67,0.1,fixed0.9,current_observed_write_fit,text,err_after,0.10842498073257628
iemocap4,67,0.1,fixed0.9,current_observed_write_fit,visual,err_after,0.06879247369508301
iemocap4,67,0.1,fixed0.9,retention,audio,err_decay,0.10019331768963416
iemocap4,67,0.1,fixed0.9,retention,text,err_decay,0.14494826656599075
iemocap4,67,0.1,fixed0.9,retention,visual,err_decay,0.09962928685725222
iemocap4,67,0.1,fixed0.9,task,,accuracy,0.8420628525382756
iemocap4,67,0.1,fixed0.9,task,,macro_f1,0.846505978138892
iemocap4,67,0.1,fixed0.9,task,,weighted_f1,0.8427534769494421
iemocap4,67,0.1,fixed0.8,current_observed_write_fit,audio,err_after,0.14293531622329214
iemocap4,67,0.1,fixed0.8,current_observed_write_fit,text,err_after,0.20734078610518633
iemocap4,67,0.1,fixed0.8,current_observed_write_fit,visual,err_after,0.13199327052582202
iemocap4,67,0.1,fixed0.8,retention,audio,err_decay,0.16498766479715002
iemocap4,67,0.1,fixed0.8,retention,text,err_decay,0.23326077323773095
iemocap4,67,0.1,fixed0.8,retention,visual,err_decay,0.1559243378246847
iemocap4,67,0.1,fixed0.8,task,,accuracy,0.8420628525382756
iemocap4,67,0.1,fixed0.8,task,,macro_f1,0.8465361405919991
iemocap4,67,0.1,fixed0.8,task,,weighted_f1,0.8429107898122631
iemocap4,67,0.3,reference,current_observed_write_fit,audio,err_after,0.0017093468621921996
iemocap4,67,0.3,reference,current_observed_write_fit,text,err_after,0.00250058041506906
iemocap4,67,0.3,reference,current_observed_write_fit,visual,err_after,0.0016942772465796748
iemocap4,67,0.3,reference,retention,audio,err_decay,0.08992150585107117
iemocap4,67,0.3,reference,retention,text,err_decay,0.118681102249086
iemocap4,67,0.3,reference,retention,visual,err_decay,0.10424115104380892
iemocap4,67,0.3,reference,task,,accuracy,0.8195004029008863
iemocap4,67,0.3,reference,task,,macro_f1,0.8173857193276652
iemocap4,67,0.3,reference,task,,weighted_f1,0.8197877493862005
iemocap4,67,0.3,fixed0.95,current_observed_write_fit,audio,err_after,0.039881704042192274
iemocap4,67,0.3,fixed0.95,current_observed_write_fit,text,err_after,0.05647544850679366
iemocap4,67,0.3,fixed0.95,current_observed_write_fit,visual,err_after,0.036911286742908764
iemocap4,67,0.3,fixed0.95,retention,audio,err_decay,0.11346043357225649
iemocap4,67,0.3,fixed0.95,retention,text,err_decay,0.15353478226418266
iemocap4,67,0.3,fixed0.95,retention,visual,err_decay,0.1221735228224942
iemocap4,67,0.3,fixed0.95,task,,accuracy,0.8195004029008863
iemocap4,67,0.3,fixed0.95,task,,macro_f1,0.8168203782344756
iemocap4,67,0.3,fixed0.95,task,,weighted_f1,0.8197817672597055
iemocap4,67,0.3,fixed0.9,current_observed_write_fit,audio,err_after,0.07669320781802784
iemocap4,67,0.3,fixed0.9,current_observed_write_fit,text,err_after,0.10861814538547528
iemocap4,67,0.3,fixed0.9,current_observed_write_fit,visual,err_after,0.07100288992728329
iemocap4,67,0.3,fixed0.9,retention,audio,err_decay,0.14142366872309062
iemocap4,67,0.3,fixed0.9,retention,text,err_decay,0.19228643908383716
iemocap4,67,0.3,fixed0.9,retention,visual,err_decay,0.1444191925641563
iemocap4,67,0.3,fixed0.9,task,,accuracy,0.8203062046736502
iemocap4,67,0.3,fixed0.9,task,,macro_f1,0.8185460998414124
iemocap4,67,0.3,fixed0.9,task,,weighted_f1,0.820562405425418
iemocap4,67,0.3,fixed0.8,current_observed_write_fit,audio,err_after,0.1468133363631694
iemocap4,67,0.3,fixed0.8,current_observed_write_fit,text,err_after,0.20800844954428366
iemocap4,67,0.3,fixed0.8,current_observed_write_fit,visual,err_after,0.13631961341444326
iemocap4,67,0.3,fixed0.8,retention,audio,err_decay,0.1990502853185064
iemocap4,67,0.3,fixed0.8,retention,text,err_decay,0.27104490883966204
iemocap4,67,0.3,fixed0.8,retention,visual,err_decay,0.19223831562461177
iemocap4,67,0.3,fixed0.8,task,,accuracy,0.8203062046736502
iemocap4,67,0.3,fixed0.8,task,,macro_f1,0.8175484942784477
iemocap4,67,0.3,fixed0.8,task,,weighted_f1,0.8206449822326101
iemocap4,67,0.5,reference,current_observed_write_fit,audio,err_after,0.00171310481147285
iemocap4,67,0.5,reference,current_observed_write_fit,text,err_after,0.002437197565463249
iemocap4,67,0.5,reference,current_observed_write_fit,visual,err_after,0.0017100920680793797
iemocap4,67,0.5,reference,retention,audio,err_decay,0.13909907710358277
iemocap4,67,0.5,reference,retention,text,err_decay,0.16125027261580419
iemocap4,67,0.5,reference,retention,visual,err_decay,0.1658923405193764
iemocap4,67,0.5,reference,task,,accuracy,0.8025785656728445
iemocap4,67,0.5,reference,task,,macro_f1,0.7962109126746487
iemocap4,67,0.5,reference,task,,weighted_f1,0.8027645335254173
iemocap4,67,0.5,fixed0.95,current_observed_write_fit,audio,err_after,0.04097081329174606
iemocap4,67,0.5,fixed0.95,current_observed_write_fit,text,err_after,0.056753925428747826
iemocap4,67,0.5,fixed0.95,current_observed_write_fit,visual,err_after,0.03915863944395062
iemocap4,67,0.5,fixed0.95,retention,audio,err_decay,0.1566718588703075
iemocap4,67,0.5,fixed0.95,retention,text,err_decay,0.1915750171933665
iemocap4,67,0.5,fixed0.95,retention,visual,err_decay,0.180541918856768
iemocap4,67,0.5,fixed0.95,task,,accuracy,0.8025785656728445
iemocap4,67,0.5,fixed0.95,task,,macro_f1,0.7960749888740544
iemocap4,67,0.5,fixed0.95,task,,weighted_f1,0.8027536487902036
iemocap4,67,0.5,fixed0.9,current_observed_write_fit,audio,err_after,0.07887966021044863
iemocap4,67,0.5,fixed0.9,current_observed_write_fit,text,err_after,0.10931300692457965
iemocap4,67,0.5,fixed0.9,current_observed_write_fit,visual,err_after,0.07544304887651801
iemocap4,67,0.5,fixed0.9,retention,audio,err_decay,0.17891608764093075
iemocap4,67,0.5,fixed0.9,retention,text,err_decay,0.22622219869661905
iemocap4,67,0.5,fixed0.9,retention,visual,err_decay,0.19946259577185488
iemocap4,67,0.5,fixed0.9,task,,accuracy,0.8033843674456084
iemocap4,67,0.5,fixed0.9,task,,macro_f1,0.7967505638189064
iemocap4,67,0.5,fixed0.9,task,,weighted_f1,0.8035436358619287
iemocap4,67,0.5,fixed0.8,current_observed_write_fit,audio,err_after,0.15129708756221616
iemocap4,67,0.5,fixed0.8,current_observed_write_fit,text,err_after,0.2097466769504234
iemocap4,67,0.5,fixed0.8,current_observed_write_fit,visual,err_after,0.14515753024965686
iemocap4,67,0.5,fixed0.8,retention,audio,err_decay,0.22745834122157274
iemocap4,67,0.5,fixed0.8,retention,text,err_decay,0.29871098037569893
iemocap4,67,0.5,fixed0.8,retention,visual,err_decay,0.24189014736201273
iemocap4,67,0.5,fixed0.8,task,,accuracy,0.8049959709911362
iemocap4,67,0.5,fixed0.8,task,,macro_f1,0.7991604831964616
iemocap4,67,0.5,fixed0.8,task,,weighted_f1,0.8053172147040792
iemocap4,67,0.7,reference,current_observed_write_fit,audio,err_after,0.001690487546289215
iemocap4,67,0.7,reference,current_observed_write_fit,text,err_after,0.002337516730671654
iemocap4,67,0.7,reference,current_observed_write_fit,visual,err_after,0.0016120220427314278
iemocap4,67,0.7,reference,retention,audio,err_decay,0.20219880915361466
iemocap4,67,0.7,reference,retention,text,err_decay,0.2035205328997463
iemocap4,67,0.7,reference,retention,visual,err_decay,0.20916049821749969
iemocap4,67,0.7,reference,task,,accuracy,0.7663174858984689
iemocap4,67,0.7,reference,task,,macro_f1,0.7624266368574877
iemocap4,67,0.7,reference,task,,weighted_f1,0.7668884007427463
iemocap4,67,0.7,fixed0.95,current_observed_write_fit,audio,err_after,0.041507313289854096
iemocap4,67,0.7,fixed0.95,current_observed_write_fit,text,err_after,0.056035731186429
iemocap4,67,0.7,fixed0.95,current_observed_write_fit,visual,err_after,0.038310727770812444
iemocap4,67,0.7,fixed0.95,retention,audio,err_decay,0.21507627060791873
iemocap4,67,0.7,fixed0.95,retention,text,err_decay,0.22931784644358075
iemocap4,67,0.7,fixed0.95,retention,visual,err_decay,0.21986869781062232
iemocap4,67,0.7,fixed0.95,task,,accuracy,0.7687348912167606
iemocap4,67,0.7,fixed0.95,task,,macro_f1,0.7654729051963383
iemocap4,67,0.7,fixed0.95,task,,weighted_f1,0.7692650028471948
iemocap4,67,0.7,fixed0.9,current_observed_write_fit,audio,err_after,0.08004853490974291
iemocap4,67,0.7,fixed0.9,current_observed_write_fit,text,err_after,0.10802401862103755
iemocap4,67,0.7,fixed0.9,current_observed_write_fit,visual,err_after,0.07390744196689918
iemocap4,67,0.7,fixed0.9,retention,audio,err_decay,0.23233049869060235
iemocap4,67,0.7,fixed0.9,retention,text,err_decay,0.2595550101293001
iemocap4,67,0.7,fixed0.9,retention,visual,err_decay,0.2346266157614022
iemocap4,67,0.7,fixed0.9,task,,accuracy,0.7687348912167606
iemocap4,67,0.7,fixed0.9,task,,macro_f1,0.7659864872659831
iemocap4,67,0.7,fixed0.9,task,,weighted_f1,0.7692676987801699
iemocap4,67,0.7,fixed0.8,current_observed_write_fit,audio,err_after,0.15406081866181803
iemocap4,67,0.7,fixed0.8,current_observed_write_fit,text,err_after,0.20751383341892127
iemocap4,67,0.7,fixed0.8,current_observed_write_fit,visual,err_after,0.14254920847283234
iemocap4,67,0.7,fixed0.8,retention,audio,err_decay,0.2721548616750012
iemocap4,67,0.7,fixed0.8,retention,text,err_decay,0.3246429554859699
iemocap4,67,0.7,fixed0.8,retention,visual,err_decay,0.26971408723152707
