dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,all,reference,current_observed_write_fit,audio,err_after,5,0.0016974344818390004,7.016524773627225e-05
iemocap4,all,reference,current_observed_write_fit,text,err_after,5,0.0024507465962295004,4.988992283330614e-05
iemocap4,all,reference,current_observed_write_fit,visual,err_after,5,0.0016515162104068822,8.19500792686637e-05
iemocap4,all,reference,task,,accuracy,5,0.8161804995970992,0.0060714904403354865
iemocap4,all,reference,task,,macro_f1,5,0.8096638791712722,0.006875217162571091
iemocap4,all,reference,task,,weighted_f1,5,0.8162400495149393,0.005383628798706091
mosi,0,fixed0.8,current_observed_write_fit,audio,err_after,5,0.03121194620815285,0.004340019041477297
mosi,0,fixed0.8,current_observed_write_fit,text,err_after,5,0.14636639530579396,0.009592394080223669
mosi,0,fixed0.8,current_observed_write_fit,visual,err_after,5,0.05975659368464686,0.008330807539965243
mosi,0,fixed0.8,task,,accuracy,5,0.8689024390243902,0.004820545213671279
mosi,0,fixed0.8,task,,correlation,5,0.7971288280403888,0.005271481220186181
mosi,0,fixed0.8,task,,macro_f1,5,0.864213708029172,0.005617680609473324
mosi,0,fixed0.8,task,,mae,5,0.7684238910675049,0.05169853299200678
mosi,0,fixed0.8,task,,predicted_sign_count,5,2.0,0.0
mosi,0,fixed0.8,task,,prediction_std,5,1.2555054664611816,0.2213750143028377
mosi,0,fixed0.8,task,,weighted_f1,5,0.8681235861256885,0.005192319931216876
mosi,0,fixed0.9,current_observed_write_fit,audio,err_after,5,0.01565325584529635,0.0023432051156588285
mosi,0,fixed0.9,current_observed_write_fit,text,err_after,5,0.07569701730322198,0.005073755164977472
mosi,0,fixed0.9,current_observed_write_fit,visual,err_after,5,0.030589251911667115,0.004391977472864737
mosi,0,fixed0.9,task,,accuracy,5,0.8682926829268293,0.005124309851820593
mosi,0,fixed0.9,task,,correlation,5,0.7965348051417056,0.0052724612779622435
mosi,0,fixed0.9,task,,macro_f1,5,0.863651108658125,0.005885533804668341
mosi,0,fixed0.9,task,,mae,5,0.7692973375320434,0.05159430820974911
mosi,0,fixed0.9,task,,predicted_sign_count,5,2.0,0.0
mosi,0,fixed0.9,task,,prediction_std,5,1.2543835997581483,0.22088934988373968
mosi,0,fixed0.9,task,,weighted_f1,5,0.86755109715939,0.0054704044618437055
mosi,0,fixed0.95,current_observed_write_fit,audio,err_after,5,0.008031053786497695,0.0012273222587478147
mosi,0,fixed0.95,current_observed_write_fit,text,err_after,5,0.03927909224931356,0.0026387634825979014
mosi,0,fixed0.95,current_observed_write_fit,visual,err_after,5,0.01581657191800597,0.0022889136996393365
mosi,0,fixed0.95,task,,accuracy,5,0.8685975609756098,0.005744342585797799
mosi,0,fixed0.95,task,,correlation,5,0.7962293443342495,0.00527510806096532
mosi,0,fixed0.95,task,,macro_f1,5,0.8639776434934612,0.00654367382706495
mosi,0,fixed0.95,task,,mae,5,0.7697974443435669,0.051514819849352696
mosi,0,fixed0.95,task,,predicted_sign_count,5,2.0,0.0
mosi,0,fixed0.95,task,,prediction_std,5,1.2537632942199708,0.22061972317033243
mosi,0,fixed0.95,task,,weighted_f1,5,0.8678632536293991,0.006102418619910917
mosi,0,reference,current_observed_write_fit,audio,err_after,5,0.0006292991670857151,0.00016986513556997652
mosi,0,reference,current_observed_write_fit,text,err_after,5,0.0018527971866964272,9.223965295914003e-05
mosi,0,reference,current_observed_write_fit,visual,err_after,5,0.0010283448356646443,3.611356681162907e-05
mosi,0,reference,task,,accuracy,5,0.8685975609756098,0.005744342585797799
mosi,0,reference,task,,correlation,5,0.7959183568119824,0.005280163732890558
mosi,0,reference,task,,macro_f1,5,0.8639776434934612,0.00654367382706495
mosi,0,reference,task,,mae,5,0.7703336238861084,0.05141672917195231
mosi,0,reference,task,,predicted_sign_count,5,2.0,0.0
mosi,0,reference,task,,prediction_std,5,1.253101372718811,0.2203301022153018
mosi,0,reference,task,,weighted_f1,5,0.8678632536293991,0.006102418619910917
mosi,0.1,fixed0.8,current_observed_write_fit,audio,err_after,5,0.035160639281779434,0.003920259928321832
mosi,0.1,fixed0.8,current_observed_write_fit,text,err_after,5,0.14802745461793185,0.00866079932581901
mosi,0.1,fixed0.8,current_observed_write_fit,visual,err_after,5,0.06308226470853846,0.0076299848749744655
mosi,0.1,fixed0.8,retention,audio,err_decay,5,0.06568928475861427,0.011549768053899135
mosi,0.1,fixed0.8,retention,text,err_decay,5,0.16010944698957078,0.014574198345768341
mosi,0.1,fixed0.8,retention,visual,err_decay,5,0.07872437108482365,0.007260415305994459
mosi,0.1,fixed0.8,task,,accuracy,5,0.8472560975609756,0.011529067317798203
