seed,rate,pattern,t,n,weighted_f1,score_delta_mean,score_mae,score_p90_abs,sign_flip_percent
66,0.5,AV,0.5,84,64.28571428571429,-0.0017877594966973578,0.003241081012501603,0.005968946218490602,0.0
66,0.5,AV,1.0,84,64.28571428571429,0.0,0.0,0.0,0.0
66,0.5,TV,-1.0,89,94.3777475365685,0.03402687910567509,0.04036019206716773,0.09443364143371583,0.0
66,0.5,TV,-0.5,89,94.3777475365685,0.02551481563053774,0.029185771272423562,0.0628711462020874,0.0
66,0.5,TV,0.0,89,94.3777475365685,0.01675195673878273,0.018545671460333833,0.039082276821136484,0.0
66,0.5,TV,0.5,89,94.3777475365685,0.00817009974061773,0.008847296907660666,0.018252092599868777,0.0
66,0.5,TV,1.0,89,94.3777475365685,0.0,0.0,0.0,0.0
66,0.6,ALL,-1.0,203,80.29556650246306,0.008792559079495556,0.01939542244734435,0.06314418315887456,0.0
66,0.6,ALL,-0.5,203,80.29556650246306,0.006782368302638894,0.014549192866961944,0.046383690834045456,0.0
66,0.6,ALL,0.0,203,80.29556650246306,0.004549307647743836,0.009731899946928024,0.03032813072204591,0.0
66,0.6,ALL,0.5,203,80.29556650246306,0.0022590257814658686,0.004909929732236956,0.01394293308258057,0.0
66,0.6,ALL,1.0,203,80.29556650246306,0.0,0.0,0.0,0.0
66,0.6,AT,-1.0,61,90.09193619849357,-0.004843969203409602,0.005616472026363748,0.014171600341796875,0.0
66,0.6,AT,-0.5,61,90.09193619849357,-0.0032322812275808366,0.004329781551830104,0.011940956115722656,0.0
66,0.6,AT,0.0,61,90.09193619849357,-0.0019757794063599383,0.0033534855627622762,0.008900761604309082,0.0
66,0.6,AT,0.5,61,90.09193619849357,-0.0009466586787192548,0.002068849738504066,0.005435943603515625,0.0
66,0.6,AT,1.0,61,90.09193619849357,0.0,0.0,0.0,0.0
66,0.6,AV,-1.0,64,59.66666666666668,-0.005427871539723128,0.007619435142260045,0.015527874231338501,0.0
66,0.6,AV,-0.5,64,59.66666666666668,-0.003730435448233038,0.007086181023623794,0.012721750140190124,0.0
66,0.6,AV,0.0,64,59.66666666666668,-0.002189204387832433,0.005631589505355805,0.00948503017425537,0.0
66,0.6,AV,0.5,64,59.66666666666668,-0.000907813897356391,0.003230791538953781,0.005264538526535034,0.0
66,0.6,AV,1.0,64,59.66666666666668,0.0,0.0,0.0,0.0
66,0.6,TV,-1.0,78,89.74358974358975,0.0311250691421521,0.03983361684741118,0.09067685604095459,0.0
66,0.6,TV,-0.5,78,89.74358974358975,0.023240228064167194,0.028664793484868147,0.062459123134613034,0.0
66,0.6,TV,0.0,78,89.74358974358975,0.015181295860272188,0.018084504378911775,0.037229824066162105,0.0
66,0.6,TV,0.5,78,89.74358974358975,0.007364467980387883,0.008509554398747591,0.016974979639053343,0.0
66,0.6,TV,1.0,78,89.74358974358975,0.0,0.0,0.0,0.0
66,0.7,ALL,-1.0,120,78.04444444444445,0.011627683695405722,0.021097202505916356,0.0642393231391907,0.8333333333333334
66,0.7,ALL,-0.5,120,78.04444444444445,0.008867026151468357,0.01586078501616915,0.047442257404327406,0.8333333333333334
66,0.7,ALL,0.0,120,78.94387491702929,0.0058919930520157015,0.010593060869723558,0.03136118054389954,0.0
66,0.7,ALL,0.5,120,78.94387491702929,0.0028955654862026373,0.0053173513151705265,0.014559292793273927,0.0
66,0.7,ALL,1.0,120,78.94387491702929,0.0,0.0,0.0,0.0
66,0.7,AT,-1.0,37,91.81246552675123,-0.004691388659380577,0.0064040052931051,0.017692065238952632,0.0
