seed,rate,pattern,component,n,mean,mean_abs,p90_abs
66,0.4,AV,evenhalf,90,-3.704420394367642e-05,0.0006200047002898323,0.0012426748871803288
66,0.4,TV,odd1,100,-0.019599696323275566,0.022715955302119256,0.047637265920639035
66,0.4,TV,even1,100,0.00043341211974620816,0.0030028191953897477,0.0058717548847198485
66,0.4,TV,oddhalf,100,-0.009990920163691044,0.011547117866575718,0.0240937352180481
66,0.4,TV,evenhalf,100,0.0001333780214190483,0.0007791044190526009,0.0014951318502426155
66,0.5,ALL,odd1,249,-0.004302167980725986,0.009421629023300597,0.031112295389175423
66,0.5,ALL,even1,249,3.5038487200277394e-05,0.002331035316409356,0.004596373438835145
66,0.5,ALL,oddhalf,249,-0.0022120194053314775,0.004769271306962852,0.015705603361129767
66,0.5,ALL,evenhalf,249,1.829537940791333e-05,0.0005933727814729912,0.0011574029922485354
66,0.5,AT,odd1,76,0.0022328162173691547,0.002727315172945198,0.006611824035644531
66,0.5,AT,even1,76,-0.0005074687988350266,0.0019391378583876711,0.0034907758235931396
66,0.5,AT,oddhalf,76,0.0010547282321280555,0.0013169706308920133,0.0031066089868545532
66,0.5,AT,evenhalf,76,-0.00012792183674479785,0.00048465641999715254,0.0008704960346221924
66,0.5,AV,odd1,84,0.003253122148591848,0.004079537222250586,0.007735306024551392
66,0.5,AV,even1,84,0.00028595525682682083,0.0019169991968997888,0.00440894179046154
66,0.5,AV,oddhalf,84,0.0016772342801448844,0.0020878956919269903,0.003858691453933716
66,0.5,AV,evenhalf,84,7.408362857642628e-05,0.000482656837751468,0.001106678694486618
66,0.5,TV,odd1,89,-0.017013439552837545,0.020180096033583866,0.04721682071685791
66,0.5,TV,even1,89,0.0002614828140548106,0.00305646498886387,0.006466305255889893
66,0.5,TV,oddhalf,89,-0.008672357944960005,0.010248039880495392,0.02403995394706726
66,0.5,TV,evenhalf,89,9.05009467950028e-05,0.0007907051718636845,0.0017438828945159912
66,0.6,ALL,odd1,203,-0.004396279539747778,0.009697711223672176,0.03157209157943728
66,0.6,ALL,even1,203,-0.0001530281079960574,0.002347588548299127,0.004833543300628663
66,0.6,ALL,oddhalf,203,-0.002261671260586513,0.004904310829166709,0.016116690635681163
66,0.6,ALL,evenhalf,203,-2.8610605691454093e-05,0.0005987833891742923,0.0012089967727661132
66,0.6,AT,odd1,61,0.002421984601704801,0.002808236013181874,0.0070858001708984375
66,0.6,AT,even1,61,-0.0004462051953448624,0.0018164202204493227,0.0034172050654888153
66,0.6,AT,oddhalf,61,0.001142811274430791,0.001341017360081438,0.0032874345779418945
66,0.6,AT,evenhalf,61,-0.00011369054679010735,0.00045364710395453406,0.0008579529821872711
66,0.6,AV,odd1,64,0.002713935769861564,0.0038097175711300224,0.0077639371156692505
66,0.6,AV,even1,64,-0.0005247313820291311,0.0019959362980443984,0.004356170631945134
66,0.6,AV,oddhalf,64,0.0014113107754383236,0.0019564148678909987,0.00395311564207077
66,0.6,AV,evenhalf,64,-0.00012992028496228158,0.0005026394210290164,0.0010944604873657227
66,0.6,TV,odd1,78,-0.01556253457107605,0.01991680842370559,0.045338428020477294
66,0.6,TV,even1,78,0.0003812387108038633,0.0030515245997752897,0.0072937846183776835
66,0.6,TV,oddhalf,78,-0.007937880041889655,0.01010977548475449,0.02304987907409668
66,0.6,TV,evenhalf,78,0.00012105216200535114,0.0007911747655807397,0.0019386053085327145
66,0.7,ALL,odd1,120,-0.005813841847702861,0.010548601252958178,0.03211966156959535
66,0.7,ALL,even1,120,-7.815120431284109e-05,0.002076330672328671,0.004538294672966004
66,0.7,ALL,oddhalf,120,-0.0029857303326328594,0.005335793054352204,0.016399440169334416
66,0.7,ALL,evenhalf,120,-1.0697233180205028e-05,0.0005298140148321788,0.0011418551206588748
66,0.7,AT,odd1,37,0.0023456943296902887,0.00320200264655255,0.008846032619476316
66,0.7,AT,even1,37,-0.0004165348269649454,0.0017303629602129396,0.003773355484008787
66,0.7,AT,oddhalf,37,0.0011080783363935109,0.0015417611276781237,0.004235768318176268
66,0.7,AT,evenhalf,37,-0.00010661609672211312,0.0004323699788467304,0.0009451687335968013
66,0.7,AV,odd1,37,0.003009685894121995,0.004140830523258931,0.0077354334294795985
66,0.7,AV,even1,37,-0.00026415570362194166,0.0016262154724146869,0.004150325059890747
66,0.7,AV,oddhalf,37,0.0015418676508439553,0.002101019729633589,0.003899189084768295
66,0.7,AV,evenhalf,37,-6.567837821470725e-05,0.0004090109991060721,0.0010419309139251707
66,0.7,TV,odd1,46,-0.019474132391421692,0.02161189832765123,0.043741196393966675
66,0.7,TV,even1,46,0.00034363924161247587,0.002716658232004746,0.005311012268066406
66,0.7,TV,oddhalf,46,-0.009920340031385422,0.010989397278298502,0.022290021181106567
66,0.7,TV,evenhalf,46,0.0001106788606747337,0.0007053605564262556,0.0014041662216186523
67,0.0,ALL,odd1,0,,,
67,0.0,ALL,even1,0,,,
67,0.0,ALL,oddhalf,0,,,
67,0.0,ALL,evenhalf,0,,,
67,0.0,AT,odd1,0,,,
67,0.0,AT,even1,0,,,
67,0.0,AT,oddhalf,0,,,
67,0.0,AT,evenhalf,0,,,
67,0.0,AV,odd1,0,,,
67,0.0,AV,even1,0,,,
67,0.0,AV,oddhalf,0,,,
67,0.0,AV,evenhalf,0,,,
67,0.0,TV,odd1,0,,,
